exp_name,num_elements_in_cluster,mean_of_which_cluster,distance_to_real_loc,point_with_the_lowest_sum_of_distances
EXP_29,6,"{'x': 4.872109777744762, 'y': 5.2318919642377235, 'z': 0.7692675429532768}",1.0285711010912177,0.8218409152628017
EXP_29,210,"{'x': 5.032181146407258, 'y': 4.866647495924947, 'z': 0.28442420872103846}",0.8372071189377216,0.8218409152628017
EXP_29,94,"{'x': 5.281710856624922, 'y': 5.015203746598785, 'z': 0.673890638447675}",0.8583863582327017,0.8218409152628017
EXP_29,4,"{'x': 4.8477804708883045, 'y': 5.259555513369453, 'z': 0.5654079258774225}",0.8960101338712636,0.8218409152628017
EXP_29,5,"{'x': 5.0646043391596764, 'y': 5.247137600680964, 'z': 0.7193301813281179}",0.8780228129154731,0.8218409152628017
EXP_29,3,"{'x': 4.726349562226402, 'y': 4.650326668848496, 'z': 0.24778514477889643}",1.1755877763910274,0.8218409152628017
EXP_29,4,"{'x': 5.758215677284875, 'y': 5.141271447128677, 'z': 0.611904774496657}",0.7548208661662713,0.8218409152628017
EXP_29,6,"{'x': 5.71325841851057, 'y': 4.8857884723793354, 'z': 0.8239950831256352}",1.0496259000234323,0.8218409152628017
EXP_29,6,"{'x': 5.467168713299899, 'y': 5.187961428713456, 'z': 0.24952537291688234}",0.4008367373382836,0.8218409152628017
