exp_name,num_elements_in_cluster,mean_of_which_cluster,distance_to_real_loc,point_with_the_lowest_sum_of_distances
EXP_31,4,"{'x': 7.0561282563588446, 'y': 0.8627305396229212, 'z': -0.470683574983962}",0.9679653867778537,0.4078524242909437
EXP_31,7,"{'x': 6.856387657425636, 'y': 1.774618451455548, 'z': -0.2369470156296066}",0.5084758893005644,0.4078524242909437
EXP_31,13,"{'x': 6.773295964374866, 'y': 1.2110304593778438, 'z': -0.0313983412558431}",0.3989985588946405,0.4078524242909437
EXP_31,54,"{'x': 6.589897389396317, 'y': 1.2946137491606418, 'z': 0.11457306395631059}",0.25180216440690106,0.4078524242909437
EXP_31,4,"{'x': 6.742472273569188, 'y': 1.6377679485523717, 'z': -0.30789545589670714}",0.4154485527715795,0.4078524242909437
EXP_31,26,"{'x': 7.029274889028126, 'y': 1.5271421062939246, 'z': -0.014994780201129286}",0.5302055261877229,0.4078524242909437
EXP_31,4,"{'x': 6.584781376764308, 'y': 1.6384100312013763, 'z': 0.17472264962688147}",0.23846528049173132,0.4078524242909437
EXP_31,6,"{'x': 6.407988891492806, 'y': 0.14378499458963326, 'z': -0.14413011238074455}",1.366933520695136,0.4078524242909437
EXP_31,5,"{'x': 7.319491291276091, 'y': 1.2966937233750309, 'z': -0.16323320180686024}",0.859968243599727,0.4078524242909437
EXP_31,4,"{'x': 6.4362164316925305, 'y': 0.15408554940318286, 'z': -0.6437039828564776}",1.4932738998589643,0.4078524242909437
EXP_31,4,"{'x': 6.339298461960225, 'y': 0.7772922135411289, 'z': 0.0658471309407996}",0.743269412797271,0.4078524242909437
EXP_31,4,"{'x': 6.534143731469582, 'y': 0.8859271293723917, 'z': 0.09105591736321245}",0.6217562464503271,0.4078524242909437
EXP_31,8,"{'x': 6.933530016167369, 'y': 1.3724672910730407, 'z': -0.03205605150469372}",0.45299990066224116,0.4078524242909437
EXP_31,5,"{'x': 6.27068805870106, 'y': 0.4926803729647471, 'z': -0.20614466580052643}",1.0534272589979812,0.4078524242909437
EXP_31,6,"{'x': 7.497764957031116, 'y': 1.3386704352491379, 'z': -0.21454995766359675}",1.0332631707362843,0.4078524242909437
EXP_31,6,"{'x': 6.933494061985637, 'y': 1.61002538185605, 'z': -0.31467072006457314}",0.5468622678517877,0.4078524242909437
EXP_31,6,"{'x': 7.08792075822632, 'y': 1.0350855741689584, 'z': 0.09884701799469237}",0.7559893253214628,0.4078524242909437
