exp_name,num_elements_in_cluster,mean_of_which_cluster,distance_to_real_loc,point_with_the_lowest_sum_of_distances
EXP_41,4,"{'x': 6.908311926339683, 'y': 5.6870584881398445, 'z': 0.6780961666708004}",0.9192034105680855,0.3764323710841034
EXP_41,4,"{'x': 7.108040738322888, 'y': 5.745751633891813, 'z': 0.4846983579474218}",0.6700863601059197,0.3764323710841034
EXP_41,20,"{'x': 7.533375205560934, 'y': 5.950222311869278, 'z': 0.6077876633951688}",0.7571105863742758,0.3764323710841034
EXP_41,10,"{'x': 7.056373063809619, 'y': 5.9618656739960665, 'z': 0.43863234639493626}",0.7762103645275551,0.3764323710841034
EXP_41,7,"{'x': 7.566147967307834, 'y': 5.992790543719854, 'z': -0.09429188287910721}",0.5060766147531418,0.3764323710841034
EXP_41,9,"{'x': 7.338658150315895, 'y': 5.701894290273136, 'z': -0.0751629684465082}",0.2691400007431077,0.3764323710841034
EXP_41,5,"{'x': 7.346367274970693, 'y': 5.5711052940195955, 'z': 0.5449101348379796}",0.5705823165854337,0.3764323710841034
EXP_41,6,"{'x': 7.279221099392866, 'y': 5.802269789434642, 'z': 0.43493203922274953}",0.573825705245068,0.3764323710841034
EXP_41,5,"{'x': 7.533397085015224, 'y': 5.489747107699728, 'z': 0.6017918594117126}",0.6028141421698732,0.3764323710841034
EXP_41,7,"{'x': 7.302052983238458, 'y': 5.970313583546206, 'z': -0.11186415384264313}",0.5223677918861382,0.3764323710841034
EXP_41,4,"{'x': 7.323639874729951, 'y': 5.418314520764708, 'z': -0.005597184127315783}",0.19448190147157648,0.3764323710841034
EXP_41,11,"{'x': 7.014304788429872, 'y': 5.564608455998522, 'z': 0.5161684459976903}",0.7117162988157568,0.3764323710841034
EXP_41,5,"{'x': 6.743075564545154, 'y': 5.473936650812879, 'z': 0.741107960084011}",1.0596263633941918,0.3764323710841034
EXP_41,4,"{'x': 7.0823730111682925, 'y': 5.807175253494563, 'z': 0.09152289542317123}",0.5264350387274769,0.3764323710841034
