exp_name,num_elements_in_cluster,mean_of_which_cluster,distance_to_real_loc,point_with_the_lowest_sum_of_distances
EXP_39,20,"{'x': 7.254975883978021, 'y': 2.7936234880166126, 'z': -0.004403269580946511}",0.7476933328577967,0.2988294831505088
EXP_39,29,"{'x': 7.390009593308111, 'y': 3.926974401711105, 'z': 0.2880212638899483}",0.5266621307821553,0.2988294831505088
EXP_39,136,"{'x': 7.295921257447304, 'y': 3.4092164092060018, 'z': 0.020756383725964604}",0.22435260194613343,0.2988294831505088
EXP_39,5,"{'x': 6.985517828290321, 'y': 4.225063876258551, 'z': -0.0659277985064218}",0.891528502068218,0.2988294831505088
EXP_39,7,"{'x': 7.271472342175095, 'y': 3.6804488531768693, 'z': -0.06996338899051753}",0.29942680240753367,0.2988294831505088
EXP_39,9,"{'x': 7.7364138990026525, 'y': 3.9885601782548026, 'z': 0.36045356082438196}",0.65159432931848,0.2988294831505088
EXP_39,4,"{'x': 7.277471765722554, 'y': 3.9484345843792545, 'z': -0.7343961958710956}",0.8887700321230458,0.2988294831505088
EXP_39,6,"{'x': 6.954491736901615, 'y': 4.508289473841985, 'z': -0.25118971911977656}",1.1736015422621087,0.2988294831505088
EXP_39,13,"{'x': 7.3366235821491825, 'y': 3.9294605534597244, 'z': -0.059015537102138076}",0.46330423050086655,0.2988294831505088
EXP_39,4,"{'x': 7.167640319587771, 'y': 3.4651797897370606, 'z': -0.12494310984359026}",0.3567923906139253,0.2988294831505088
