exp_name,num_elements_in_cluster,mean_of_which_cluster,distance_to_real_loc,point_with_the_lowest_sum_of_distances
EXP_26,5,"{'x': 4.316695084042404, 'y': 2.519301725199409, 'z': -2.1803581608897935}",2.480869915977055,0.26523450001837984
EXP_26,6,"{'x': 5.681098516255798, 'y': 3.0090727751075566, 'z': 0.0901473622816817}",0.5478120389330633,0.26523450001837984
EXP_26,4,"{'x': 5.219347889780137, 'y': 2.1175556884262323, 'z': -0.8911851353266306}",1.0095839192459437,0.26523450001837984
EXP_26,4,"{'x': 5.507556320067193, 'y': 2.021155820264379, 'z': 0.08628886757512372}",0.4865746499767534,0.26523450001837984
EXP_26,5,"{'x': 5.697792479376284, 'y': 1.6895127370463605, 'z': 0.3770706329060888}",0.9155542037476536,0.26523450001837984
EXP_26,6,"{'x': 5.570951993450399, 'y': 2.644263841838583, 'z': 0.33734001150872284}",0.37367737421470937,0.26523450001837984
