exp_name,num_elements_in_cluster,mean_of_which_cluster,distance_to_real_loc,point_with_the_lowest_sum_of_distances
EXP_40,10,"{'x': 7.142878044782276, 'y': 4.869874882373298, 'z': 0.5859136714121385}",0.779503194348811,0.28794871071077904
EXP_40,5,"{'x': 7.0474832968218895, 'y': 4.886990504851105, 'z': 0.20789080184997877}",0.6306723872185933,0.28794871071077904
EXP_40,9,"{'x': 7.177538543718315, 'y': 4.207955704575151, 'z': 0.10648183781928347}",0.4478978678225648,0.28794871071077904
EXP_40,4,"{'x': 7.248104141372023, 'y': 4.452975531512097, 'z': 0.5784045139458335}",0.6326208738257061,0.28794871071077904
EXP_40,13,"{'x': 7.2058719367528985, 'y': 5.06003127944866, 'z': 0.3276818088710925}",0.7123777789908945,0.28794871071077904
EXP_40,12,"{'x': 7.128102633400211, 'y': 4.474816862114728, 'z': 0.3978452950498735}",0.5451508873697264,0.28794871071077904
EXP_40,7,"{'x': 7.466621606724518, 'y': 4.122916775689032, 'z': 0.028879781746477824}",0.37967773176735076,0.28794871071077904
EXP_40,11,"{'x': 7.296000080151032, 'y': 4.416367775302516, 'z': -0.046990101658790764}",0.2254195200065865,0.28794871071077904
EXP_40,5,"{'x': 7.101438351879016, 'y': 3.8863635659264752, 'z': -0.4490566345434185}",0.8585323115643347,0.28794871071077904
EXP_40,16,"{'x': 7.314155579714429, 'y': 4.615876487979833, 'z': 0.372680922172277}",0.43227276111270313,0.28794871071077904
EXP_40,5,"{'x': 7.10119079363847, 'y': 5.172812837188855, 'z': 0.21902730393101053}",0.8121959615757759,0.28794871071077904
EXP_40,6,"{'x': 7.088166818328877, 'y': 4.478629015278773, 'z': 0.5721157836023397}",0.7052202563738512,0.28794871071077904
EXP_40,4,"{'x': 7.1612135984053475, 'y': 4.258796999209824, 'z': 0.4261355111511048}",0.5954192556510076,0.28794871071077904
EXP_40,6,"{'x': 7.218257161792465, 'y': 4.988994371704189, 'z': -0.2545900542391712}",0.6191098852384768,0.28794871071077904
EXP_40,7,"{'x': 7.379165836443265, 'y': 4.228303652797357, 'z': -0.022570841633862627}",0.2982017605581832,0.28794871071077904
EXP_40,4,"{'x': 6.896108403700778, 'y': 3.8672073099998907, 'z': -1.1965568274913247}",1.4822221864484424,0.28794871071077904
EXP_40,5,"{'x': 7.475324481457844, 'y': 5.1476778462654655, 'z': 0.4175007262513618}",0.7709939234520597,0.28794871071077904
