exp_name,num_elements_in_cluster,mean_of_which_cluster,distance_to_real_loc,point_with_the_lowest_sum_of_distances
EXP_8,24,"{'x': 2.2110707548600392, 'y': 2.6389881661859884, 'z': 0.4403915404040933}",0.5447351374750852,0.7147138448358195
EXP_8,19,"{'x': 2.489519397287413, 'y': 2.8051611400462044, 'z': 0.41864061120298124}",0.5181536934153804,0.7147138448358195
EXP_8,5,"{'x': 1.9806123738574926, 'y': 1.7171582409148276, 'z': 0.20865253789029495}",0.9623449953109332,0.7147138448358195
EXP_8,31,"{'x': 2.4376856983459025, 'y': 2.294552095272699, 'z': 0.5922762468943736}",0.6299918570902326,0.7147138448358195
EXP_8,4,"{'x': 2.683518557593408, 'y': 2.6447084518319146, 'z': 0.5032502862697581}",0.5549065056385625,0.7147138448358195
EXP_8,4,"{'x': 2.440957268279742, 'y': 2.060792316097783, 'z': 0.6171807140445227}",0.75981147661772,0.7147138448358195
EXP_8,4,"{'x': 2.236566172071661, 'y': 1.7294033083573968, 'z': 0.2901549683798327}",0.8645345337232052,0.7147138448358195
EXP_8,4,"{'x': 2.4640051037562505, 'y': 2.643278546109597, 'z': 0.46097042883358785}",0.4840990497821701,0.7147138448358195
EXP_8,4,"{'x': 2.111369129164772, 'y': 2.098024615171774, 'z': 0.9195779710984691}",1.0762333018449113,0.7147138448358195
EXP_8,7,"{'x': 2.654333511987906, 'y': 2.2145661093290228, 'z': 0.5716437391538719}",0.657258099988125,0.7147138448358195
EXP_8,4,"{'x': 2.4923231341462877, 'y': 1.446950433434706, 'z': 0.4793775826361711}",1.1570188632861609,0.7147138448358195
EXP_8,4,"{'x': 2.353735485125963, 'y': 1.5398611036171679, 'z': 0.32602687826089044}",1.0244372601579854,0.7147138448358195
EXP_8,4,"{'x': 2.257781360760329, 'y': 1.0969234065313416, 'z': 0.303968938926006}",1.4559417742478578,0.7147138448358195
EXP_8,5,"{'x': 2.8429497208909615, 'y': 2.333775607437222, 'z': 0.47825843351068115}",0.6115339238341566,0.7147138448358195
EXP_8,4,"{'x': 2.8116655211247013, 'y': 2.2929148206913204, 'z': 0.6168647553077073}",0.7215351065610045,0.7147138448358195
EXP_8,7,"{'x': 2.601799023766288, 'y': 1.962893169293397, 'z': 0.5207586563460451}",0.7550313172312788,0.7147138448358195
EXP_8,5,"{'x': 2.5118206772292533, 'y': 1.6980863876295504, 'z': 0.15128532384060026}",0.8161338983279643,0.7147138448358195
EXP_8,4,"{'x': 2.716033075480175, 'y': 2.429409064691219, 'z': 0.3460949743646379}",0.4140357110201971,0.7147138448358195
EXP_8,4,"{'x': 2.690250171231429, 'y': 1.2595953161509486, 'z': 0.2873792203732126}",1.2874024273707114,0.7147138448358195
EXP_8,7,"{'x': 2.841570536141705, 'y': 0.9703351429910887, 'z': -0.928674045550952}",1.8218551918305692,0.7147138448358195
EXP_8,5,"{'x': 2.8020871795989786, 'y': 0.8008027640493343, 'z': -0.010291132768891728}",1.7258769191341543,0.7147138448358195
EXP_8,4,"{'x': 3.052556139154147, 'y': 2.1527931839865038, 'z': 0.1887540604393595}",0.6793821016188165,0.7147138448358195
