exp_name,num_elements_in_cluster,mean_of_which_cluster,distance_to_real_loc
EXP_45,5,"{'x': 7.509182344106354, 'y': 3.6562350140508224, 'z': 0.2423621264555552}",1.0319112558742638
EXP_45,22,"{'x': 8.081345285526924, 'y': 3.2766100919742027, 'z': 0.024765879689712552}",0.47521814990591366
EXP_45,7,"{'x': 8.143016174222048, 'y': 3.0260952568872423, 'z': -0.0043160554774740074}",0.5933369194648176
EXP_45,4,"{'x': 8.175826851042165, 'y': 2.873664164989207, 'z': 0.1150167706866671}",0.7145504390874026
EXP_45,6,"{'x': 8.542018269816026, 'y': 2.339955078400106, 'z': 0.012119396911294976}",1.1608231605201544
EXP_45,22,"{'x': 8.306782310985703, 'y': 3.4776503054882393, 'z': 0.21661302747564706}",0.29109979388518925
EXP_45,6,"{'x': 8.323068119250294, 'y': 3.2242740907163348, 'z': -0.16098070552830665}",0.36500013698627565
EXP_45,27,"{'x': 8.411860420637801, 'y': 2.985218382698226, 'z': 0.05968788881385224}",0.5256850197599322
EXP_45,7,"{'x': 8.46271105711775, 'y': 2.5285031285564727, 'z': 0.024444533135571992}",0.9725219277733534
EXP_45,4,"{'x': 8.397644189382412, 'y': 3.7075757898351918, 'z': 0.1749533528328834}",0.2901870431290821
EXP_45,5,"{'x': 8.648446503076446, 'y': 2.911206319389227, 'z': -0.050855667195928635}",0.6093429330024269
EXP_45,5,"{'x': 8.603011211914346, 'y': 2.722634452756947, 'z': -0.07229007031415921}",0.7875195553127554
EXP_45,5,"{'x': 7.773062698734066, 'y': 3.7353701775239543, 'z': 0.27336345193016925}",0.8115074429726442
EXP_45,4,"{'x': 7.584416289563886, 'y': 3.7349427084903057, 'z': 0.06804784956003124}",0.9476947662617963
EXP_45,6,"{'x': 8.69698883912732, 'y': 3.1003704708748145, 'z': -0.024212080621130217}",0.44617799138908637
EXP_45,4,"{'x': 8.06930021432779, 'y': 3.645556813832969, 'z': 0.16418770126143886}",0.48338751535388236
EXP_45,4,"{'x': 8.733072511596617, 'y': 3.5759174866703, 'z': 0.2082646974115489}",0.3216913272066876
EXP_45,6,"{'x': 8.530790117116329, 'y': 3.141831825162628, 'z': -0.18073041826637737}",0.4023783915669429
