exp_name,num_elements_in_cluster,mean_of_which_cluster,distance_to_real_loc
EXP_14,5,"{'x': 3.70054490314313, 'y': 2.42344479856554, 'z': 0.7301760613090178}",0.7610912231789301
EXP_14,61,"{'x': 3.367306274073974, 'y': 1.5455406949557298, 'z': 0.15087923195599043}",0.9754231645803784
EXP_14,5,"{'x': 3.73996955377863, 'y': 1.7500724561676886, 'z': 0.47188986348069434}",0.9179540402438459
EXP_14,46,"{'x': 3.4239558287928857, 'y': 1.7663775244027011, 'z': 0.451480971598297}",0.8647526871886552
EXP_14,4,"{'x': 3.5131097503232374, 'y': 2.2950769808824427, 'z': 0.6630760425936997}",0.6941593693093827
EXP_14,4,"{'x': 3.426479612652198, 'y': 2.374789097318576, 'z': 0.681657547553939}",0.6969879338984284
EXP_14,4,"{'x': 3.9627755246355383, 'y': 1.5277623801716387, 'z': -0.29692642786818885}",1.1169182109716003
EXP_14,12,"{'x': 4.0312134270224345, 'y': 1.4423352001611178, 'z': -0.0009649708876203767}",1.1835977906366673
EXP_14,7,"{'x': 3.5880202988549033, 'y': 1.8509930738693026, 'z': 0.025967571129973725}",0.6554548039338792
EXP_14,4,"{'x': 3.3499981478594227, 'y': 2.543901746979568, 'z': 0.29437352885178975}",0.33331452113581844
EXP_14,4,"{'x': 2.9266643494974045, 'y': 1.4667367162330396, 'z': 0.3583020872550212}",1.234811997836108
EXP_14,4,"{'x': 3.3669924077536035, 'y': 2.0507880521422193, 'z': 0.2377968712359518}",0.5253746092075633
EXP_14,5,"{'x': 3.2113011302772856, 'y': 2.321812521296679, 'z': 0.6726825367340966}",0.7534110564625395
EXP_14,4,"{'x': 3.1981402785821738, 'y': 1.4295129132479403, 'z': 0.04947059106129617}",1.1133571349751166
