exp_name,num_elements_in_cluster,mean_of_which_cluster,distance_to_real_loc,point_with_the_lowest_sum_of_distances
EXP_30,80,"{'x': 6.576028976581109, 'y': 0.9610780539554702, 'z': -0.33450103792985875}",0.5746994518876801,0.4702659035056656
EXP_30,23,"{'x': 6.611576973536178, 'y': 1.2242321714486684, 'z': -0.5043822287502798}",0.8895726839331343,0.4702659035056656
EXP_30,17,"{'x': 6.584745689084263, 'y': 0.3177740935053528, 'z': 0.03649119960194828}",0.20421356468168306,0.4702659035056656
EXP_30,6,"{'x': 6.370131431534415, 'y': 1.0451036149993913, 'z': -0.634011166595917}",0.8461465712274676,0.4702659035056656
EXP_30,6,"{'x': 6.5789352724736005, 'y': 1.3357767480883436, 'z': -0.7893431753660728}",1.1522939468729323,0.4702659035056656
EXP_30,110,"{'x': 6.852243059598461, 'y': 0.7219765922269108, 'z': 0.06642052240718004}",0.42158961087768737,0.4702659035056656
EXP_30,4,"{'x': 6.694874150323446, 'y': 0.21105618583881444, 'z': 0.27693881392366815}",0.44510990777559634,0.4702659035056656
EXP_30,6,"{'x': 7.108590509477871, 'y': 0.4606863282497767, 'z': 0.16961093254255033}",0.6330107503036579,0.4702659035056656
EXP_30,7,"{'x': 6.977580526786206, 'y': 1.1039274712538159, 'z': -0.48559399325390096}",0.9102770622178722,0.4702659035056656
EXP_30,12,"{'x': 6.792864904138803, 'y': 1.220985100616589, 'z': -0.6931475659289653}",1.04212236325683,0.4702659035056656
EXP_30,4,"{'x': 6.864555226783077, 'y': 0.24979407302026757, 'z': 0.28401485329527854}",0.5255370586362109,0.4702659035056656
EXP_30,8,"{'x': 7.362914668816137, 'y': 0.5608725909781636, 'z': 0.23757555670504077}",0.8970835969964002,0.4702659035056656
EXP_30,4,"{'x': 7.19367539185118, 'y': 0.327090508503293, 'z': 0.41411398721308035}",0.8261918118693744,0.4702659035056656
