exp_name,num_elements_in_cluster,mean_of_which_cluster,distance_to_real_loc,point_with_the_lowest_sum_of_distances
EXP_5,108,"{'x': 1.557264362026491, 'y': 5.146949501363988, 'z': 0.7183837404783782}",0.8025343980166834,0.6470338631014609
EXP_5,5,"{'x': 1.5194170649656535, 'y': 4.9429073868010756, 'z': 0.19996453608706852}",0.5922303352581664,0.6470338631014609
EXP_5,10,"{'x': 1.5824208139636098, 'y': 5.4399039207393125, 'z': 0.6932990649950208}",0.7007614858138252,0.6470338631014609
EXP_5,8,"{'x': 1.7863165178851057, 'y': 5.492359139736765, 'z': 0.6574402650790792}",0.7170775481075948,0.6470338631014609
EXP_5,10,"{'x': 1.99014304054338, 'y': 5.368007096799429, 'z': 0.6686612041021756}",0.8395127753643775,0.6470338631014609
EXP_5,17,"{'x': 1.4894657630123758, 'y': 5.579505227294356, 'z': 0.5521023672074099}",0.5578932783248066,0.6470338631014609
EXP_5,6,"{'x': 1.6922219402411818, 'y': 5.453961108318951, 'z': 0.47507310393948354}",0.5145647189615705,0.6470338631014609
EXP_5,4,"{'x': 1.9623034583822716, 'y': 5.375127768224283, 'z': 0.9462267732942906}",1.0604790144081118,0.6470338631014609
EXP_5,4,"{'x': 1.7798135195437697, 'y': 5.326426956767054, 'z': 0.8190796944862946}",0.8828079122889646,0.6470338631014609
EXP_5,4,"{'x': 1.7213246400633853, 'y': 4.74574583135278, 'z': 0.7472791031242624}",1.0846195047112144,0.6470338631014609
EXP_5,4,"{'x': 1.2650834769922032, 'y': 4.913167969002251, 'z': 0.34396119175857626}",0.719616738271144,0.6470338631014609
EXP_5,5,"{'x': 1.427886163952064, 'y': 4.678135981767771, 'z': 0.2524131044689911}",0.862799965229485,0.6470338631014609
EXP_5,4,"{'x': 1.6196687636057256, 'y': 4.614225829938156, 'z': 0.47454452708867656}",1.0119881323414812,0.6470338631014609
EXP_5,5,"{'x': 1.4060404583075041, 'y': 4.973048150162494, 'z': 0.39278955826173656}",0.6639705113933903,0.6470338631014609
EXP_5,3,"{'x': 1.6698041824389023, 'y': 4.859618838167921, 'z': 0.6586367679154487}",0.9341831512075132,0.6470338631014609
