exp_name,num_elements_in_cluster,mean_of_which_cluster,distance_to_real_loc
EXP_46,62,"{'x': 8.229291139274773, 'y': 5.162053108409693, 'z': 0.030243955428803745}",0.7159378045612618,0.7029294701461872
EXP_46,5,"{'x': 7.768400347317299, 'y': 3.6904371927482744, 'z': -2.1071007727247903}",2.3728803446444577,0.7029294701461872
EXP_46,7,"{'x': 8.003315156249835, 'y': 4.542389807245662, 'z': 0.22173505719873113}",0.5455818362079153,0.7029294701461872
EXP_46,11,"{'x': 7.848176631879809, 'y': 5.11381778573756, 'z': -0.36764844603042596}",0.9678447396147793,0.7029294701461872
EXP_46,4,"{'x': 8.121527076901753, 'y': 4.812598411187403, 'z': 0.19267636300827246}",0.5273654330727416,0.7029294701461872
EXP_46,11,"{'x': 8.440565927649205, 'y': 4.595700542283205, 'z': 0.02677803941166904}",0.11578035239193218,0.7029294701461872
EXP_46,4,"{'x': 7.698315932579109, 'y': 4.352317984633395, 'z': -1.6272591206133376}",1.8200668861335838,0.7029294701461872
EXP_46,4,"{'x': 8.049384474870825, 'y': 4.96953607051678, 'z': -0.23658878019415502}",0.6924234037061426,0.7029294701461872
EXP_46,4,"{'x': 8.89027311874068, 'y': 4.340945277204844, 'z': -0.13954897822208798}",0.4439675100725275,0.7029294701461872
EXP_46,5,"{'x': 8.09309833387124, 'y': 3.348920968970315, 'z': -2.476794506342107}",2.7613650718439966,0.7029294701461872
EXP_46,5,"{'x': 8.354103633220799, 'y': 4.757496348057444, 'z': 0.20261066796886232}",0.3586639374121685,0.7029294701461872
EXP_46,4,"{'x': 8.209142120749421, 'y': 6.2173970373481815, 'z': -0.22247780987674698}",1.756015894005518,0.7029294701461872
EXP_46,6,"{'x': 8.269174512863144, 'y': 4.718496105049229, 'z': -0.04702506153780534}",0.32127852402549417,0.7029294701461872
