exp_name,num_elements_in_cluster,mean_of_which_cluster,distance_to_real_loc
EXP_11,163,"{'x': 2.4237017512406904, 'y': 5.107812119244265, 'z': 0.6555388674307974}",0.7676736155424386
EXP_11,23,"{'x': 2.6065957921822633, 'y': 4.594759404588854, 'z': 0.6976962694543409}",1.1478396621479847
EXP_11,4,"{'x': 2.827493029393842, 'y': 4.421897946356549, 'z': 0.6649255420351269}",1.308299610181093
EXP_11,7,"{'x': 2.3741866825000493, 'y': 4.629296522332487, 'z': 0.7971349642785965}",1.1871447005314897
EXP_11,4,"{'x': 2.442046222302838, 'y': 4.8374553594143155, 'z': 0.4359305964910939}",0.7951597701091269
EXP_11,6,"{'x': 2.90262918222005, 'y': 4.608288612721256, 'z': 0.6672546081692795}",1.1842740139004995
EXP_11,5,"{'x': 2.534684059096775, 'y': 4.552310534663011, 'z': 0.3633200516712195}",1.0155423526372498
EXP_11,4,"{'x': 2.1745981871995563, 'y': 4.893307121451953, 'z': 0.10843265057807489}",0.6969365896550418
EXP_11,20,"{'x': 2.7416482851829116, 'y': 4.735690744884087, 'z': 0.6003699725758135}",1.001501477782235
EXP_11,4,"{'x': 2.8430381011410413, 'y': 5.885849615287215, 'z': 0.6335971921672515}",0.8172757184695993
EXP_11,11,"{'x': 2.9046880349174766, 'y': 5.588450552041342, 'z': 0.6278498421659646}",0.7521616714510252
EXP_11,4,"{'x': 2.5910278437588454, 'y': 5.555787689517393, 'z': 0.552053689177908}",0.5623246837904238
EXP_11,4,"{'x': 2.851119929164236, 'y': 4.925018022022722, 'z': 0.6321553050497304}",0.9238901720442751
