exp_name,num_elements_in_cluster,mean_of_which_cluster,distance_to_real_loc
EXP_2,61,"{'x': 1.0158274108415493, 'y': 1.8847962261183582, 'z': 0.5589205445975288}",0.9619198979125029
EXP_2,5,"{'x': 0.6457788642263234, 'y': 1.8660954003654098, 'z': 0.6673503829346965}",1.2557506161654868
EXP_2,48,"{'x': 0.8418312967687905, 'y': 2.230435777539775, 'z': 0.5521600913772912}",0.9004644579326826
EXP_2,6,"{'x': 1.0254861603099654, 'y': 2.4698901906089006, 'z': 0.6744733577029588}",0.8252311857897761
EXP_2,4,"{'x': 1.2981376292042666, 'y': 2.29703660402095, 'z': 0.649927260138604}",0.7101708386015297
EXP_2,43,"{'x': 1.1768253878058363, 'y': 1.5289502803627633, 'z': 0.5928083481759051}",1.1826711630880327
EXP_2,7,"{'x': 0.7820991066865673, 'y': 1.568704419456574, 'z': 0.46532203424963176}",1.2645964534190344
EXP_2,49,"{'x': 1.3148674292708187, 'y': 1.3277676603140605, 'z': 0.34116327238524063}",1.2348005061547391
EXP_2,8,"{'x': 1.3527984800680066, 'y': 2.1004931589452718, 'z': 0.5145517110713685}",0.6678931426508287
EXP_2,4,"{'x': 1.472823565217868, 'y': 1.2063392638804626, 'z': 0.009992171839399058}",1.2940245476806074
EXP_2,13,"{'x': 1.558999064419336, 'y': 1.0787063842873108, 'z': 0.09196305137542407}",1.4254959452765903
EXP_2,4,"{'x': 1.0593305042839165, 'y': 1.1459086479898932, 'z': 0.2276385558445927}",1.4420835828758334
EXP_2,4,"{'x': 0.9014759006333448, 'y': 1.4002205830373364, 'z': -0.0048390191972461204}",1.25211234719573
EXP_2,5,"{'x': 0.9331132822125399, 'y': 1.6712205633697377, 'z': 0.015333632895366194}",1.0042505364698593
EXP_2,4,"{'x': 1.2638184822742953, 'y': 1.696282705800246, 'z': 0.40115433515492416}",0.9288086832066118
EXP_2,4,"{'x': 1.271378656609036, 'y': 1.67791671179811, 'z': 0.14138703712193754}",0.8649279334141082
EXP_2,4,"{'x': 1.0276859495827007, 'y': 1.8649872315524174, 'z': 0.2182165798802385}",0.8209162746589935
