exp_name,num_elements_in_cluster,mean_of_which_cluster,distance_to_real_loc,point_with_the_lowest_sum_of_distances
EXP_16,40,"{'x': 3.1059487296581416, 'y': 4.779804283326873, 'z': 0.042622323171011306}",0.48519852637863586,0.6125022612203157
EXP_16,136,"{'x': 3.008156384921457, 'y': 4.527101474787465, 'z': 0.3641164822005432}",0.6125115998901571,0.6125022612203157
EXP_16,4,"{'x': 3.0807860045054762, 'y': 4.541986579476248, 'z': -0.3918196402560203}",0.5753258902569917,0.6125022612203157
EXP_16,7,"{'x': 3.1542017871883674, 'y': 4.60437094415554, 'z': -0.6989634420161639}",0.786815098990862,0.6125022612203157
EXP_16,7,"{'x': 3.27238673015839, 'y': 4.456224878987659, 'z': -0.772131082658812}",0.8061380837052669,0.6125022612203157
EXP_16,4,"{'x': 2.8659912163208423, 'y': 4.3506505093097845, 'z': 0.3177883283455051}",0.7247367315101394,0.6125022612203157
EXP_16,4,"{'x': 2.937901757647554, 'y': 4.206768139482297, 'z': 0.47310857908102977}",0.7910412505046749,0.6125022612203157
EXP_16,2,"{'x': 2.8603034704441397, 'y': 4.253505849908789, 'z': 0.39919122671413254}",0.7933088805755296,0.6125022612203157
EXP_16,4,"{'x': 2.7883884153876735, 'y': 4.3751743662809846, 'z': 0.18808691432888783}",0.7465461874525913,0.6125022612203157
EXP_16,4,"{'x': 2.7517141801893255, 'y': 4.414222693150275, 'z': -0.08535027893078821}",0.7580288187133783,0.6125022612203157
