exp_name,num_elements_in_cluster,mean_of_which_cluster,distance_to_real_loc
EXP_17,116,"{'x': 3.1378101548383612, 'y': 5.344559376224195, 'z': 0.7545736100341469}",0.8513278804315058
EXP_17,19,"{'x': 3.10488480900421, 'y': 5.157351028214339, 'z': 0.5089974297954517}",0.729766928546368
EXP_17,7,"{'x': 3.354258643952169, 'y': 5.173440306068243, 'z': 0.5041579912865545}",0.6181534518224419
EXP_17,22,"{'x': 3.1391754091954436, 'y': 5.047179960308736, 'z': 0.28727662434853435}",0.6463325537213793
EXP_17,6,"{'x': 2.9599833829929985, 'y': 5.455267237091771, 'z': 0.28180034108823954}",0.6107448976454899
EXP_17,7,"{'x': 3.1175157372555935, 'y': 5.247837403548795, 'z': 0.21062550794250876}",0.5042454263550638
EXP_17,30,"{'x': 3.4396664233312975, 'y': 5.450182791963103, 'z': 0.4786672461732636}",0.4850462039847338
EXP_17,8,"{'x': 3.1665410515449173, 'y': 5.7476299217021145, 'z': 0.3840853423034378}",0.5657391801881854
EXP_17,14,"{'x': 3.366719332002824, 'y': 5.59097378024549, 'z': 0.24811342498784045}",0.2959788843819776
EXP_17,4,"{'x': 3.346683932085559, 'y': 5.299222806755633, 'z': 0.272337036527275}",0.37144154318008116
EXP_17,6,"{'x': 3.5539552870447224, 'y': 5.551079406604977, 'z': -0.10968291808918806}",0.13251905523357754
EXP_17,6,"{'x': 3.458304572505442, 'y': 5.691834626261492, 'z': -0.043210010219172014}",0.20097853119176662
EXP_17,10,"{'x': 3.4040937195486416, 'y': 5.24600960455653, 'z': -0.09321723433468683}",0.28705234714246763
EXP_17,7,"{'x': 2.894906640170575, 'y': 4.844963625210876, 'z': 0.6184307545379955}",1.0851679916031436
EXP_17,10,"{'x': 3.192452216551729, 'y': 4.802191208700213, 'z': 0.25166547018989216}",0.8030155540212157
EXP_17,4,"{'x': 3.258229196323933, 'y': 5.3982638605331665, 'z': 0.23151640979663518}",0.34986051506278903
EXP_17,4,"{'x': 3.0164379918868365, 'y': 5.041354110413714, 'z': 0.5803734227187014}",0.8837686801420379
EXP_17,5,"{'x': 3.397889972894242, 'y': 4.9528520486235825, 'z': -0.010179476606920581}",0.5566388955148575
EXP_17,4,"{'x': 3.219010387475545, 'y': 5.159776424219036, 'z': 0.01998464688711458}",0.44169790581346463
