exp_name,num_elements_in_cluster,mean_of_which_cluster,distance_to_real_loc
EXP_33,186,"{'x': 6.498707855502497, 'y': 3.2133878027502267, 'z': 0.011120671834946297}",0.2868178167408712
EXP_33,8,"{'x': 6.404491680919353, 'y': 3.408019080801028, 'z': -0.5160787090437098}",0.5328634534287373
EXP_33,4,"{'x': 6.258459233697696, 'y': 4.018334622870153, 'z': -0.19493128299085583}",0.6041052474527928
EXP_33,5,"{'x': 6.274431689121327, 'y': 3.311679985455926, 'z': -0.8270812099432089}",0.87775090999668
EXP_33,11,"{'x': 6.336339024335689, 'y': 3.51870178252856, 'z': -0.6207481984638892}",0.6421961304772866
EXP_33,19,"{'x': 6.523176240607598, 'y': 3.4301327306385914, 'z': -0.8138660323527972}",0.8172254646056986
EXP_33,15,"{'x': 6.665797741090413, 'y': 3.3453665342700827, 'z': -0.6295735971294794}",0.6691688576136818
EXP_33,4,"{'x': 6.601874289313678, 'y': 3.143614590019994, 'z': -0.3169666749736566}",0.48774334439333955
EXP_33,6,"{'x': 6.159697268991141, 'y': 3.113044989640203, 'z': 0.3311202161241209}",0.612535958128174
EXP_33,6,"{'x': 6.223389832908924, 'y': 3.5520885771921407, 'z': 0.22356165383042703}",0.35947034648215437
EXP_33,6,"{'x': 6.182775678502378, 'y': 3.423430209893951, 'z': 0.061438246728004665}",0.33204421392338673
EXP_33,4,"{'x': 6.0267596246316835, 'y': 3.258448803721265, 'z': -0.04766005907655027}",0.5334454892489019
