exp_name,num_elements_in_cluster,mean_of_which_cluster,distance_to_real_loc,point_with_the_lowest_sum_of_distances
EXP_12,18,"{'x': 4.104661420477977, 'y': 0.43556715287121034, 'z': 0.24009378588031532}",0.6538023095707144,0.5491910232332646
EXP_12,8,"{'x': 3.8350568792091377, 'y': 0.7321343317654982, 'z': 0.2921039518800185}",0.5014826318029371,0.5491910232332646
EXP_12,4,"{'x': 3.655657090142256, 'y': 0.9065637436865103, 'z': 0.17405008394937538}",0.468910289927615,0.5491910232332646
EXP_12,9,"{'x': 3.662725276977646, 'y': 0.7366687658904616, 'z': 0.6315954759900534}",0.6938420137178204,0.5491910232332646
EXP_12,24,"{'x': 3.7640582865536985, 'y': 0.5537691993346806, 'z': 0.5657191753775667}",0.626625677737515,0.5491910232332646
EXP_12,25,"{'x': 4.214477701299212, 'y': 0.35949284090567457, 'z': 0.6511967204794405}",0.9768889087301587,0.5491910232332646
EXP_12,7,"{'x': 3.8708932137694205, 'y': 0.5008456261173685, 'z': 0.2116099897916035}",0.42701523392028984,0.5491910232332646
EXP_12,4,"{'x': 3.9813321863254347, 'y': 0.8428375464314134, 'z': 0.6018126613155831}",0.843400717334293,0.5491910232332646
EXP_12,16,"{'x': 4.393345985554954, 'y': 0.3342992733004839, 'z': 0.05166808911205615}",0.910007840625563,0.5491910232332646
EXP_12,11,"{'x': 4.373092214967731, 'y': -0.010602237521209383, 'z': 0.69228815096257}",1.2256815491798838,0.5491910232332646
EXP_12,4,"{'x': 4.0998584669222655, 'y': 0.6806751457664278, 'z': -0.1307066607991153}",0.6400117108303565,0.5491910232332646
EXP_12,5,"{'x': 4.22912846966785, 'y': 0.6071679932720013, 'z': 0.0948283654751588}",0.7430112314090547,0.5491910232332646
EXP_12,4,"{'x': 3.937496491525617, 'y': 0.4962466109890231, 'z': 0.6834204539967024}",0.811453171785039,0.5491910232332646
EXP_12,20,"{'x': 4.38484500474363, 'y': 0.5791303983770608, 'z': 0.6863576724182507}",1.1226187286875275,0.5491910232332646
EXP_12,5,"{'x': 3.855374454291802, 'y': 0.815514750388207, 'z': -0.038553313022446974}",0.47680118498174895,0.5491910232332646
EXP_12,13,"{'x': 4.014540138612967, 'y': 0.6975250294793441, 'z': 0.16445432110584576}",0.575131941383888,0.5491910232332646
EXP_12,5,"{'x': 4.757889109792305, 'y': 0.09158570699746682, 'z': 0.6658349256061196}",1.4806730260256653,0.5491910232332646
EXP_12,4,"{'x': 4.40690496357897, 'y': 0.3638669672266587, 'z': 0.3325819923819965}",0.9755068323697177,0.5491910232332646
