exp_name,num_elements_in_cluster,mean_of_which_cluster,distance_to_real_loc,point_with_the_lowest_sum_of_distances
EXP_43,21,"{'x': 8.078950834934144, 'y': 0.9500829980344586, 'z': -0.7998656232083025}",1.0580505753507248,1.0869868858454548
EXP_43,61,"{'x': 8.159420536388355, 'y': 1.4425119305297802, 'z': -1.2452981051917456}",1.2923183431337653,1.0869868858454548
EXP_43,128,"{'x': 8.618013067018845, 'y': 1.5733038840590146, 'z': -0.12378171046400434}",0.1860734532382308,1.0869868858454548
EXP_43,57,"{'x': 8.02475736168099, 'y': 1.2901266856775786, 'z': -1.485941748968392}",1.5740939806758678,1.0869868858454548
EXP_43,18,"{'x': 8.39428934856439, 'y': 1.2233370864095012, 'z': -0.7200239451336636}",0.7785469671124536,1.0869868858454548
EXP_43,8,"{'x': 8.328330016724776, 'y': 1.9813957751596023, 'z': -0.11105996323870944}",0.5230392528290777,1.0869868858454548
EXP_43,4,"{'x': 7.6223376736420985, 'y': 0.7890297297889267, 'z': -1.9912658827492917}",2.2893566738278244,1.0869868858454548
EXP_43,6,"{'x': 7.617280574432328, 'y': 0.574492398821111, 'z': -2.0322869691174312}",2.401239852659455,1.0869868858454548
EXP_43,4,"{'x': 8.203331667000866, 'y': 0.863614185875078, 'z': -0.26974242218388}",0.7521794599694941,1.0869868858454548
EXP_43,4,"{'x': 8.631738206500753, 'y': 1.1781887155895083, 'z': -0.2933239256406678}",0.4548901186000859,1.0869868858454548
EXP_43,5,"{'x': 8.94785448912973, 'y': 1.5486367599359874, 'z': -0.2695392591603576}",0.5249824949462606,1.0869868858454548
EXP_43,4,"{'x': 9.079708529238122, 'y': 1.5287759586196437, 'z': -0.11348572033174267}",0.5914083022751717,1.0869868858454548
EXP_43,4,"{'x': 8.381509732481334, 'y': 1.2485007927995255, 'z': -1.1137551593870152}",1.1479742767152927,1.0869868858454548
EXP_43,3,"{'x': 8.975089753012945, 'y': 1.6007690255616616, 'z': -0.052890600858451285}",0.4885479096260667,1.0869868858454548
