exp_name,num_elements_in_cluster,mean_of_which_cluster,distance_to_real_loc
EXP_6,5,"{'x': 3.169993677000411, 'y': 0.7017894649857606, 'z': 0.19665977580274063}",0.7268522064353935
EXP_6,29,"{'x': 2.997053425227668, 'y': 0.5869833642403317, 'z': 0.40014873016679076}",0.644016630220059
EXP_6,4,"{'x': 2.8509279306455726, 'y': 0.34888476384720485, 'z': 0.3033215233299556}",0.4878041717738791
EXP_6,27,"{'x': 2.6500997787883835, 'y': 0.5862960574688065, 'z': 0.6821556036864332}",0.7038284876303318
EXP_6,4,"{'x': 2.8643837536479824, 'y': 0.9964091133291413, 'z': 0.38229226988903164}",0.7248128103172569
EXP_6,6,"{'x': 3.8211576475720133, 'y': 0.4534511734185347, 'z': 0.11991944044934733}",1.327444047785066
EXP_6,4,"{'x': 3.413264047370903, 'y': 0.16117228854305343, 'z': 0.016629269287185063}",0.9742576096700503
EXP_6,4,"{'x': 2.797197675595424, 'y': 0.3016802566435114, 'z': -0.0034890064297796123}",0.35729956619061276
EXP_6,5,"{'x': 4.0144916064038885, 'y': 0.7231689049414305, 'z': -0.5118985674031868}",1.6141778402642006
EXP_6,9,"{'x': 4.107364361550887, 'y': 0.596778802173135, 'z': 0.3724057614232512}",1.6528117739174053
EXP_6,6,"{'x': 3.3326875278556414, 'y': 0.5482946358971276, 'z': -0.007467068714730724}",0.8341333406596334
EXP_6,8,"{'x': 3.1445877958719226, 'y': 0.07653623128066585, 'z': 0.32350434439857745}",0.8363693322928574
EXP_6,8,"{'x': 3.5900028913250477, 'y': 0.32515186981539834, 'z': 0.054504673730371725}",1.1052715910580528
EXP_6,4,"{'x': 2.8500870135554086, 'y': 0.5674162763216258, 'z': -0.3745037159688516}",0.5170715811181271
EXP_6,6,"{'x': 3.317756782057783, 'y': 0.2930748283525516, 'z': 0.11328489202293958}",0.8511411986268789
EXP_6,4,"{'x': 2.9696752220760643, 'y': 0.3772380178844417, 'z': 0.5235580941263718}",0.7140412383049035
EXP_6,6,"{'x': 3.0527477081827428, 'y': 0.5090315438999689, 'z': 0.21457855218989383}",0.5929683381092116
EXP_6,4,"{'x': 2.7609202713570857, 'y': 0.27575881403021096, 'z': 0.9206298628932127}",0.9827709855301997
EXP_6,4,"{'x': 3.1141397453527637, 'y': 0.37186162145745644, 'z': 0.0010554934924158158}",0.6273194003057774
