exp_name,num_elements_in_cluster,mean_of_which_cluster,distance_to_real_loc
EXP_27,4,"{'x': 4.751743142025889, 'y': 4.502279689364543, 'z': -0.7665060663763479}",1.4669970790700302
EXP_27,4,"{'x': 5.128530251627664, 'y': 3.670738851130566, 'z': 0.2796924079406776}",0.4953613125790105
EXP_27,5,"{'x': 5.049729991047032, 'y': 4.429985684568441, 'z': -0.5671753129315418}",1.1787221597984827
EXP_27,5,"{'x': 4.950097826409115, 'y': 4.599174553680731, 'z': -0.8240899466992289}",1.4797876401700345
EXP_27,4,"{'x': 5.085491133572188, 'y': 4.122619761696884, 'z': -1.7522635321557416}",1.9052549173273376
EXP_27,4,"{'x': 4.890522698708191, 'y': 4.043537579620846, 'z': -1.8726866431972837}",2.0430094933700134
EXP_27,44,"{'x': 4.541178804563582, 'y': 3.1122637485567144, 'z': 0.32029038275932764}",1.0826822340834823
EXP_27,9,"{'x': 4.953954553160246, 'y': 3.579225656000226, 'z': 0.2453805495145125}",0.6038292805089865
EXP_27,3,"{'x': 4.6086131560568795, 'y': 3.3786408417159044, 'z': 0.25697239801381005}",0.935617934843064
EXP_27,4,"{'x': 4.702455833674316, 'y': 3.4834731356798705, 'z': 0.13835141660890538}",0.8095882039654485
EXP_27,5,"{'x': 4.877437641848493, 'y': 3.3058010385328087, 'z': -0.021994370831930225}",0.652555285014228
EXP_27,10,"{'x': 4.694923514644379, 'y': 2.987762097208307, 'z': 0.06032527031902907}",0.9561228686732687
EXP_27,6,"{'x': 4.641497027033933, 'y': 3.1566613994422994, 'z': -0.00819704294009111}",0.9246320241047249
