exp_name,num_elements_in_cluster,mean_of_which_cluster,distance_to_real_loc,point_with_the_lowest_sum_of_distances
EXP_4,189,"{'x': 1.013460858324927, 'y': 4.25551165999126, 'z': 0.7487979816439599}",0.9258314857467315,0.8913150116541287
EXP_4,45,"{'x': 1.1305285122355238, 'y': 3.689945606140402, 'z': 0.7509729418956975}",1.1648146891244116,0.8913150116541287
EXP_4,11,"{'x': 0.6050636836599491, 'y': 3.908431866064858, 'z': 0.5722301316836162}",1.2158328051175458,0.8913150116541287
EXP_4,4,"{'x': 1.0001986770826248, 'y': 4.17406165107949, 'z': 0.9188311609544305}",1.095538356243176,0.8913150116541287
EXP_4,5,"{'x': 0.9519795737903033, 'y': 4.063385889383679, 'z': 0.31962048616788474}",0.770108901389927,0.8913150116541287
EXP_4,4,"{'x': 1.4208266566862329, 'y': 3.8164456073475783, 'z': 0.7276396860783949}",1.0014905691018765,0.8913150116541287
EXP_4,6,"{'x': 1.1431682357147308, 'y': 4.7686903797186755, 'z': 0.45412080649115155}",0.6369558383436014,0.8913150116541287
EXP_4,5,"{'x': 1.2277267523950268, 'y': 4.795129942188845, 'z': 0.3146062106487957}",0.5101024014842508,0.8913150116541287
EXP_4,6,"{'x': 0.9169121650081942, 'y': 4.932245237221741, 'z': 0.6328892905000237}",0.9629978504648907,0.8913150116541287
EXP_4,6,"{'x': 1.0104746479514974, 'y': 4.753927863030225, 'z': 0.8322984098386766}",0.9983980919452922,0.8913150116541287
EXP_4,4,"{'x': 1.045425215156425, 'y': 4.924467281482112, 'z': 0.5450033127405725}",0.8269742499014101,0.8913150116541287
EXP_4,4,"{'x': 1.287047589742211, 'y': 3.787112179754051, 'z': 0.43306444180788084}",0.8609128991948023,0.8913150116541287
