exp_name,num_elements_in_cluster,mean_of_which_cluster,distance_to_real_loc
EXP_15,330,"{'x': 3.1896696731836363, 'y': 3.620077726121449, 'z': 0.5318632357493044}",0.6273975693290499
EXP_15,5,"{'x': 3.107333493205811, 'y': 3.110580128435962, 'z': 0.0752336264020531}",0.5581224686392765
EXP_15,4,"{'x': 3.0463501761204785, 'y': 3.093582701698282, 'z': 0.21930440443891144}",0.6473070446086616
EXP_15,4,"{'x': 2.8276302838076246, 'y': 3.856277759837055, 'z': 0.3930992489293322}",0.8565039754723852
EXP_15,3,"{'x': 3.2723103119846884, 'y': 3.8362282758410307, 'z': 0.3611103092904125}",0.543388387803788
EXP_15,5,"{'x': 3.090348703002328, 'y': 3.920685210855626, 'z': 0.367653597231155}",0.6928534260577774
EXP_15,9,"{'x': 3.513104706882641, 'y': 3.428194460684784, 'z': 0.5595467556860626}",0.5642402856939586
EXP_15,10,"{'x': 3.3244148620230165, 'y': 3.279883111619514, 'z': 0.5162280699304972}",0.5879981377521531
EXP_15,4,"{'x': 3.4774381744913505, 'y': 3.6029202134898317, 'z': 0.464040238752805}",0.47581001460667055
EXP_15,4,"{'x': 3.3435974182753543, 'y': 3.4981732241891597, 'z': 0.045927649044986925}",0.16300616552756533
EXP_15,6,"{'x': 3.3824238401408877, 'y': 3.374726544781367, 'z': 0.1550291785394453}",0.231419208364388
