exp_name,num_elements_in_cluster,mean_of_which_cluster,distance_to_real_loc,point_with_the_lowest_sum_of_distances
EXP_42,4,"{'x': 7.023883432827817, 'y': 0.6295560198093338, 'z': -1.046303429092002}",1.813949023539526,1.320963549837769
EXP_42,5,"{'x': 8.37219881277311, 'y': 1.4385769559279962, 'z': -0.3279479255816222}",1.0024077064747658,1.320963549837769
EXP_42,4,"{'x': 7.997646101031844, 'y': 1.787473751304648, 'z': -2.23433675221567}",2.627195938638761,1.320963549837769
EXP_42,5,"{'x': 8.04817414846352, 'y': 1.6490952884202248, 'z': -2.2645624498427424}",2.579334644826065,1.320963549837769
