exp_name,num_elements_in_cluster,mean_of_which_cluster,distance_to_real_loc
EXP_23,7,"{'x': 4.271194689725805, 'y': 5.008315727294998, 'z': 0.7286801239731778}",0.9083622735450871
EXP_23,52,"{'x': 4.25164354034833, 'y': 5.094457117980363, 'z': 0.19484945007374746}",0.5138870011977342
