exp_name,num_elements_in_cluster,mean_of_which_cluster,distance_to_real_loc
EXP_43,8,"{'x': 8.475648612139747, 'y': 1.4526125180366405, 'z': -0.4433524584385435}",0.44659341687938037
EXP_43,37,"{'x': 8.565189250753058, 'y': 1.412678058328097, 'z': -0.18414850975421676}",0.2139278850454052
EXP_43,10,"{'x': 8.506374206203676, 'y': 1.3086777022983511, 'z': -0.05385614277255196}",0.19885135151665426
EXP_43,9,"{'x': 8.190623478193462, 'y': 1.3198713089328247, 'z': -1.2581020231826694}",1.3080443341110422
