exp_name,num_elements_in_cluster,mean_of_which_cluster,distance_to_real_loc
EXP_34,5,"{'x': 6.417624540414108, 'y': 4.660404671646275, 'z': 0.3162466990685328}",0.3640059889617202
EXP_34,5,"{'x': 6.384930582420454, 'y': 4.714751515925014, 'z': 0.734731105156308}",0.7740614575083816
EXP_34,9,"{'x': 6.273864311447159, 'y': 4.936904560984447, 'z': 0.4668632150674648}",0.678231840892183
EXP_34,15,"{'x': 6.4242364856305105, 'y': 4.817578166104291, 'z': 0.4487748124322609}",0.5550106665641659
EXP_34,4,"{'x': 6.146627833388274, 'y': 4.52087549228373, 'z': -1.1124837732817137}",1.167469322937438
