exp_name,num_elements_in_cluster,mean_of_which_cluster,distance_to_real_loc
EXP_20,8,"{'x': 4.21760247863416, 'y': 2.576624938846125, 'z': 0.3716741546393797}",0.4730520161673555
EXP_20,27,"{'x': 4.2782866313675765, 'y': 2.3526263087278307, 'z': 1.1562244277573415}",1.1864552625362659
EXP_20,6,"{'x': 4.160703109817276, 'y': 2.6137445994125597, 'z': 1.6795236645614822}",1.7171990071043017
EXP_20,4,"{'x': 4.2262032444073245, 'y': 2.0726500871577422, 'z': -0.17781724108029967}",0.5377402439840259
EXP_20,7,"{'x': 4.397032813023409, 'y': 2.316969165133053, 'z': 1.329716168153168}",1.3461798133978982
