exp_name,num_elements_in_cluster,mean_of_which_cluster,distance_to_real_loc
EXP_3,7,"{'x': 1.3716662309823193, 'y': 2.8515147075746197, 'z': 0.5043964349988115}",0.8315242028949006
EXP_3,6,"{'x': 1.3910277296885172, 'y': 2.6166471598869125, 'z': 0.7966704153860098}",1.1945741709914877
EXP_3,17,"{'x': 1.2626931426492616, 'y': 2.7505316066266148, 'z': 0.7148966455548282}",1.062611664720466
EXP_3,5,"{'x': 1.3133320014753322, 'y': 2.812413187348892, 'z': 0.9759967528006233}",1.208398382157143
EXP_3,6,"{'x': 1.2432126182907703, 'y': 2.656625473246964, 'z': 0.5725537442240488}",1.051256657529454
EXP_3,7,"{'x': 1.2688570471428628, 'y': 2.9768019255364266, 'z': 0.7226974522158435}",0.9216510945037716
EXP_3,6,"{'x': 1.3752791350939246, 'y': 2.536033828873167, 'z': 0.018222401995861493}",0.9722023091928962
