exp_name,num_elements_in_cluster,mean_of_which_cluster,distance_to_real_loc
EXP_46,5,"{'x': 8.312848353711649, 'y': 4.840596184832127, 'z': -0.07023856667617334}",0.3949433377080824
EXP_46,8,"{'x': 8.410545717968475, 'y': 5.150934467840228, 'z': -0.07898449353845131}",0.6617567982272641
EXP_46,4,"{'x': 8.376000940497933, 'y': 5.219364115751097, 'z': -0.23236039104351636}",0.7661084257466436
EXP_46,4,"{'x': 8.301712424393905, 'y': 5.442035630136791, 'z': -0.27560067313496667}",1.0013202534653938
EXP_46,6,"{'x': 8.4282411068502, 'y': 5.066853028922654, 'z': 0.05909408050028406}",0.5744768576713952
EXP_46,6,"{'x': 8.148261233878573, 'y': 5.05609245268211, 'z': -0.84016470307786}",1.0671813997629453
EXP_46,6,"{'x': 8.319918860029608, 'y': 5.016941370209814, 'z': -0.8469619135675043}",1.0084793602250863
EXP_46,6,"{'x': 8.169758064957032, 'y': 5.212919203575438, 'z': 0.04665517849874302}",0.7870446874225124
