exp_name,num_elements_in_cluster,mean_of_which_cluster,distance_to_real_loc
EXP_26,6,"{'x': 5.233501604768026, 'y': 2.157984543866352, 'z': -1.0492161370192084}",1.1352563102665405
EXP_26,5,"{'x': 5.469721496375149, 'y': 1.993661599849549, 'z': 1.038260376080868}",1.155562490737736
EXP_26,5,"{'x': 5.308003988395461, 'y': 2.3495609554019294, 'z': -0.9014674569175465}",0.9339092086493205
EXP_26,5,"{'x': 5.805120502575177, 'y': 2.2081248616671547, 'z': 0.803753813801945}",0.9079570804834335
EXP_26,4,"{'x': 5.440726432288768, 'y': 2.1758732466692337, 'z': -0.4219723720378207}",0.5353889240542805
EXP_26,5,"{'x': 5.27823881537893, 'y': 1.8897536995553128, 'z': -0.968386343590414}",1.1659064456464765
EXP_26,8,"{'x': 5.498460248116351, 'y': 2.1304467487887866, 'z': -0.5955464070470452}",0.7008756380414433
